stage,outcome,variable,variable_label,or,beta,se,z,p,sig,nobs
hurdle1_logit_anycoin,coin,emotion_z,情感强度,1.1378104220387248,0.12910573310852946,0.06616296305332685,1.9513293714562212,0.05101787727918223,+,3325
hurdle1_logit_anycoin,coin,fear_z,恐惧诉求,1.09972326010425,0.09505856642892503,0.06854842068156408,1.3867360543653018,0.1655222622824707,,3325
hurdle1_logit_anycoin,coin,text_z,文字覆盖强度,0.927199745317704,-0.07558626163555435,0.08098178820923012,-0.933373580739715,0.35062711616836373,,3325
hurdle1_logit_anycoin,coin,suspense_z,视觉悬念,0.9846034218154274,-0.015516336328480207,0.04739497090144903,-0.32738360280343204,0.7433777668309105,,3325
hurdle1_logit_anycoin,coin,info_gap_z,信息缺口,0.9259475029550931,-0.07693773821614296,0.05767806224917063,-1.3339168345110148,0.18223111375464163,,3325
hurdle1_logit_anycoin,coin,rep_z,图文代表性,0.9711807872682228,-0.029242641339400494,0.05711702489350222,-0.5119776702992668,0.6086666375017562,,3325
hurdle1_logit_anycoin,coin,auth_z,权威线索,0.7954584326824229,-0.2288366856400276,0.05610278070875042,-4.078883127522691,4.5252577832983054e-05,***,3325
hurdle1_logit_anycoin,coin,clip_sim_z,CLIP图文相似度,1.0616412058320808,0.05981601812064078,0.06714285237276343,0.8908769289179798,0.3729951986415989,,3325
hurdle2_nb_poscoin_approx,coin,emotion_z,情感强度,1.056562651597429,0.05502085740180069,0.05917459981760632,0.9298053146348485,0.35247189412331015,,2707
hurdle2_nb_poscoin_approx,coin,fear_z,恐惧诉求,0.9158782663985083,-0.08787182008444812,0.07704436022625757,-1.1405353983911781,0.2540633138824482,,2707
hurdle2_nb_poscoin_approx,coin,text_z,文字覆盖强度,1.0878066747094906,0.08416344395911594,0.07692658678146365,1.094074850847225,0.27392215134923315,,2707
hurdle2_nb_poscoin_approx,coin,suspense_z,视觉悬念,1.0053425074918252,0.005328286925178876,0.02784516977207101,0.19135408290895758,0.8482481917989892,,2707
hurdle2_nb_poscoin_approx,coin,info_gap_z,信息缺口,0.9917733009801089,-0.008260725051385878,0.05411328421514476,-0.15265613926781288,0.8786694510473316,,2707
hurdle2_nb_poscoin_approx,coin,rep_z,图文代表性,0.9192267426339416,-0.08422245949183366,0.0696837045454146,-1.2086392369817793,0.22680147523708682,,2707
hurdle2_nb_poscoin_approx,coin,auth_z,权威线索,0.9277395598645394,-0.07500423228228532,0.07935995484348202,-0.9451143518190341,0.3446004990277445,,2707
hurdle2_nb_poscoin_approx,coin,clip_sim_z,CLIP图文相似度,0.8782547102259206,-0.12981862465568283,0.06811948031609955,-1.9057488996286593,0.056682791652277985,+,2707
