table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs
main_nb_cluster,play,exposure,emotion_z,情感强度,1.17360906417597,0.1600836712114671,0.04607558437916924,3.4743709356802186,0.000512052632750093,***,17.360906417597,3325
main_nb_cluster,play,exposure,fear_z,恐惧诉求,1.0991527527273401,0.09453965823548255,0.054176082231404944,1.7450442029320372,0.08097717490274858,+,9.915275272734014,3325
main_nb_cluster,play,exposure,text_z,文字覆盖强度,0.977745436269418,-0.022505932941740164,0.06654389482578495,-0.3382118374745235,0.7352035559330303,,-2.225456373058199,3325
main_nb_cluster,play,exposure,suspense_z,视觉悬念,1.067993650823067,0.0657817955981101,0.025799332935094167,2.5497479242429875,0.010780083223633337,*,6.7993650823066965,3325
main_nb_cluster,play,exposure,info_gap_z,信息缺口,0.9628333529779713,-0.037874932025979184,0.04587247479127055,-0.8256570459369834,0.40899866507376637,,-3.7166647022028654,3325
main_nb_cluster,play,exposure,rep_z,图文代表性,0.873713883350004,-0.13500232151018166,0.0480070715153782,-2.8121340721009425,0.004921398514864213,**,-12.6286116649996,3325
main_nb_cluster,play,exposure,auth_z,权威线索,0.7392496503023068,-0.30211959329354887,0.05833681029611871,-5.178884340093062,2.2321680107497393e-07,***,-26.075034969769316,3325
main_nb_cluster,play,exposure,clip_sim_z,CLIP图文相似度,0.9213433027322161,-0.08192256220015476,0.05678713379040727,-1.4426254105818856,0.1491260212482028,,-7.865669726778391,3325
main_nb_cluster,like,low_cost,emotion_z,情感强度,1.1238726203898293,0.11678041799419145,0.05316351888297478,2.196626943586112,0.02804710032455089,*,12.387262038982927,3325
main_nb_cluster,like,low_cost,fear_z,恐惧诉求,0.9814978838655365,-0.01867542128879468,0.06084018594496333,-0.3069586491022342,0.7588748469387228,,-1.8502116134463509,3325
main_nb_cluster,like,low_cost,text_z,文字覆盖强度,0.9537577681486564,-0.047345551568769,0.07685186410087103,-0.6160625005351352,0.537853270396667,,-4.624223185134357,3325
main_nb_cluster,like,low_cost,suspense_z,视觉悬念,1.066263830737436,0.06416079112291702,0.032791198352986196,1.9566467328289663,0.05038901656626349,+,6.626383073743591,3325
main_nb_cluster,like,low_cost,info_gap_z,信息缺口,0.9549927227642623,-0.04605155867257393,0.04266985119387548,-1.0792528538084951,0.28047502384450673,,-4.500727723573772,3325
main_nb_cluster,like,low_cost,rep_z,图文代表性,0.8931538667729523,-0.11299640973094063,0.05461085648381169,-2.069119896781626,0.0385348370686603,*,-10.684613322704772,3325
main_nb_cluster,like,low_cost,auth_z,权威线索,0.7811775144606676,-0.24695286372634,0.08067471474533167,-3.061093733097212,0.0022053004473844523,**,-21.882248553933238,3325
main_nb_cluster,like,low_cost,clip_sim_z,CLIP图文相似度,0.8460509955277564,-0.16717564279098024,0.07522294835041156,-2.2224021586102265,0.026256139594214387,*,-15.394900447224359,3325
main_nb_cluster,coin,high_cost,emotion_z,情感强度,1.1032763284790819,0.09828423335508278,0.06259323886627537,1.570205267138483,0.11636736458662005,,10.327632847908186,3325
main_nb_cluster,coin,high_cost,fear_z,恐惧诉求,0.9347198112194259,-0.06750846174762001,0.0752402363341039,-0.8972388317315887,0.36959148841621947,,-6.528018878057407,3325
main_nb_cluster,coin,high_cost,text_z,文字覆盖强度,1.052368614532247,0.05104344698392184,0.07866434784834442,0.6488765035251749,0.5164182031241144,,5.236861453224706,3325
main_nb_cluster,coin,high_cost,suspense_z,视觉悬念,1.0084368925681968,0.008401500914483039,0.028413399991680768,0.29568798232323257,0.7674683757410496,,0.8436892568196797,3325
main_nb_cluster,coin,high_cost,info_gap_z,信息缺口,0.9811137234338507,-0.019066900107286587,0.05935078569534339,-0.32125775394381273,0.7480150683744828,,-1.8886276566149274,3325
main_nb_cluster,coin,high_cost,rep_z,图文代表性,0.9299766173262316,-0.07259583581088347,0.07224315014859453,-1.0048819252976027,0.3149537087727784,,-7.00233826737684,3325
main_nb_cluster,coin,high_cost,auth_z,权威线索,0.8961203400583346,-0.10968056692491215,0.08018305356544841,-1.3678771516899986,0.1713505327338607,,-10.387965994166537,3325
main_nb_cluster,coin,high_cost,clip_sim_z,CLIP图文相似度,0.8888254005223223,-0.11785446261961571,0.06997171188670616,-1.6843158390984962,0.09212064593482126,+,-11.117459947767772,3325
main_nb_cluster,favorites,high_cost,emotion_z,情感强度,1.0387539852624197,0.03802190377454844,0.06140770949426171,0.61917150285668,0.5358033829334756,,3.875398526241969,3325
main_nb_cluster,favorites,high_cost,fear_z,恐惧诉求,0.9208523696705652,-0.08245554909251075,0.06878850417622466,-1.1986821065518942,0.23065157829252947,,-7.914763032943483,3325
main_nb_cluster,favorites,high_cost,text_z,文字覆盖强度,1.046331344656258,0.04529008857466469,0.06273261272110546,0.7219544445887156,0.47032248614814964,,4.63313446562581,3325
main_nb_cluster,favorites,high_cost,suspense_z,视觉悬念,1.0300102577044072,0.029568761128272232,0.028522972404788502,1.0366647875488657,0.2998921079650464,,3.001025770440724,3325
main_nb_cluster,favorites,high_cost,info_gap_z,信息缺口,0.9926331152059202,-0.007394154299946736,0.05635449655338386,-0.13120788494565563,0.8956108586001692,,-0.7366884794079764,3325
main_nb_cluster,favorites,high_cost,rep_z,图文代表性,0.9079992225485588,-0.09651175660526445,0.061057632676193636,-1.5806665338155892,0.1139543041915256,,-9.20007774514412,3325
main_nb_cluster,favorites,high_cost,auth_z,权威线索,0.7738102734377312,-0.2564285601978469,0.07254052969568184,-3.5349695028917254,0.00040782222380605416,***,-22.618972656226877,3325
