visual_clickbait_type,n,pct
3.0,3111,0.6291203235591507
5.0,938,0.1896865520728008
0.0,772,0.15611729019211323
2.0,63,0.012740141557128413
1.0,59,0.01193124368048534
4.0,2,0.0004044489383215369
