table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs,subset
robust_post2022,play,exposure,emotion_z,情感强度,1.1733625401931789,0.15987359284218583,0.051160125633847385,3.1249648209701415,0.0017782632501168105,**,17.336254019317888,2851,post2022
robust_post2022,play,exposure,fear_z,恐惧诉求,1.079910806515004,0.07687845116548907,0.060386948455214584,1.273097136585818,0.2029835749242671,,7.991080651500404,2851,post2022
robust_post2022,play,exposure,text_z,文字覆盖强度,0.9825300590392826,-0.017624341264703254,0.07335983917694505,-0.24024509135295505,0.8101402592331132,,-1.7469940960717412,2851,post2022
robust_post2022,play,exposure,suspense_z,视觉悬念,1.064440848870483,0.06244963675298957,0.028135473775701424,2.2196049460849245,0.02644559623946317,*,6.444084887048307,2851,post2022
robust_post2022,play,exposure,info_gap_z,信息缺口,0.966217692500206,-0.03436611560306395,0.051511439075476145,-0.6671550284726012,0.5046731134826232,,-3.378230749979405,2851,post2022
robust_post2022,play,exposure,rep_z,图文代表性,0.8667985839510243,-0.14294864297260082,0.05445240931089,-2.6252032698213843,0.008659725221656665,**,-13.320141604897573,2851,post2022
robust_post2022,play,exposure,auth_z,权威线索,0.6990998663882106,-0.3579616765839259,0.06804376406554857,-5.260756536617975,1.4346389018454976e-07,***,-30.090013361178936,2851,post2022
robust_post2022,play,exposure,clip_sim_z,CLIP图文相似度,0.8637827111653835,-0.14643403351415588,0.059911009598924994,-2.4441923862485435,0.014517682598573113,*,-13.621728883461648,2851,post2022
robust_post2022,like,low_cost,emotion_z,情感强度,1.1046830678872435,0.09955847743839347,0.05689250934817523,1.7499399934903153,0.08012866867284754,+,10.468306788724346,2851,post2022
robust_post2022,like,low_cost,fear_z,恐惧诉求,0.9655474205793703,-0.035060063271127394,0.06840142900061397,-0.5125633160502056,0.608256819487323,,-3.4452579420629736,2851,post2022
robust_post2022,like,low_cost,text_z,文字覆盖强度,0.9568636606932175,-0.04409436299367202,0.0892348364622439,-0.4941384412390195,0.6212084109873726,,-4.313633930678251,2851,post2022
robust_post2022,like,low_cost,suspense_z,视觉悬念,1.0624739847733946,0.060600136597516285,0.03782433024306724,1.6021469833857422,0.10912311051979823,,6.247398477339461,2851,post2022
robust_post2022,like,low_cost,info_gap_z,信息缺口,0.9480960161440963,-0.053299499003454785,0.04745340872011058,-1.1231964244723827,0.2613540808112863,,-5.190398385590367,2851,post2022
robust_post2022,like,low_cost,rep_z,图文代表性,0.8710723689393243,-0.138030218394818,0.06162821900614127,-2.239724279247194,0.02510882833819394,*,-12.892763106067573,2851,post2022
robust_post2022,like,low_cost,auth_z,权威线索,0.7822045545441527,-0.24563899394160696,0.09343192526683622,-2.629069167097607,0.008561894460808564,**,-21.779544545584727,2851,post2022
robust_post2022,like,low_cost,clip_sim_z,CLIP图文相似度,0.8082657688721993,-0.21286435267244766,0.0803610645235851,-2.6488493393460995,0.008076632817933117,**,-19.173423112780075,2851,post2022
